날짜,연도,월,일,요일,주말여부,공휴일,방학,날씨,최저기온,최고기온,운영시간_시간,실입장객
2023-01-01,2023,1,1,6,1,1,1,맑음,-4,4,11.0,4707
2023-01-02,2023,1,2,0,0,0,1,맑음,-7,0,10.0,1427
2023-01-03,2023,1,3,1,0,0,1,맑음,-9,1,10.0,948
2023-01-04,2023,1,4,2,0,0,1,맑음,-6,3,10.0,1122
2023-01-05,2023,1,5,3,0,0,1,흐림,-6,4,10.0,1356
2023-01-06,2023,1,6,4,0,0,1,비,-5,6,11.0,2142
2023-01-07,2023,1,7,5,1,0,1,흐림,-1,4,11.0,7155
2023-01-08,2023,1,8,6,1,0,1,흐림,-4,6,11.0,4689
2023-01-09,2023,1,9,0,0,0,1,흐림,-1,7,10.0,1482
2023-01-10,2023,1,10,1,0,0,1,맑음,-4,9,10.0,1683
2023-01-11,2023,1,11,2,0,0,1,맑음,-2,9,10.0,1629
2023-01-12,2023,1,12,3,0,0,1,맑음,-1,13,10.0,2901
2023-01-13,2023,1,13,4,0,0,1,비,5,10,9.0,229
2023-01-14,2023,1,14,5,1,0,1,비,4,8,9.0,1102
2023-01-15,2023,1,15,6,1,0,1,눈,-3,4,11.0,1965
2023-01-16,2023,1,16,0,0,0,1,흐림,-7,-1,10.0,1355
2023-01-17,2023,1,17,1,0,0,1,흐림,-7,0,10.0,1099
2023-01-18,2023,1,18,2,0,0,1,맑음,-5,2,10.0,1470
2023-01-19,2023,1,19,3,0,0,1,눈,-6,4,10.0,1838
2023-01-20,2023,1,20,4,0,0,1,맑음,-8,2,11.0,1287
2023-01-21,2023,1,21,5,1,1,1,맑음,-10,2,11.0,2083
2023-01-22,2023,1,22,6,1,1,1,눈,-3,3,11.0,3073
2023-01-23,2023,1,23,0,0,1,1,흐림,-7,5,10.0,8373
2023-01-24,2023,1,24,1,0,1,1,맑음,-17,-7,8.0,399
2023-01-25,2023,1,25,2,0,0,1,맑음,-17,-5,8.0,269
2023-01-26,2023,1,26,3,0,0,1,눈,-9,-3,9.0,371
2023-01-27,2023,1,27,4,0,0,1,맑음,-10,-4,9.0,1132
2023-01-28,2023,1,28,5,1,0,1,맑음,-11,-1,11.0,8048
2023-01-29,2023,1,29,6,1,0,1,흐림,-8,5,10.0,6313
2023-01-30,2023,1,30,0,0,0,1,맑음,-4,4,10.0,1243
2023-01-31,2023,1,31,1,0,0,1,흐림,-3,8,10.0,1680
