날짜,연도,월,일,요일,주말여부,공휴일,방학,날씨,날씨_kma_단순,평균기온,최저기온,최고기온,일강수량,강수여부,폭우,일조시간_시간,운영시간_시간,실입장객
2023-01-01,2023,1,1,6,1,1,1,맑음,기타,0.0,-4.0,4.0,0.0,0,0,11.0,11.0,4707
2023-01-02,2023,1,2,0,0,0,1,맑음,기타,-3.5,-7.0,0.0,0.0,0,0,11.0,10.0,1427
2023-01-03,2023,1,3,1,0,0,1,맑음,기타,-4.0,-9.0,1.0,0.0,0,0,11.0,10.0,948
2023-01-04,2023,1,4,2,0,0,1,맑음,기타,-1.5,-6.0,3.0,0.0,0,0,11.0,10.0,1122
2023-01-05,2023,1,5,3,0,0,1,흐림,기타,-1.0,-6.0,4.0,0.0,0,0,11.0,10.0,1356
2023-01-06,2023,1,6,4,0,0,1,비,기타,0.5,-5.0,6.0,0.0,0,0,11.0,11.0,2142
2023-01-07,2023,1,7,5,1,0,1,흐림,기타,1.5,-1.0,4.0,0.0,0,0,11.0,11.0,7155
2023-01-08,2023,1,8,6,1,0,1,흐림,기타,1.0,-4.0,6.0,0.0,0,0,11.0,11.0,4689
2023-01-09,2023,1,9,0,0,0,1,흐림,기타,3.0,-1.0,7.0,0.0,0,0,11.0,10.0,1482
2023-01-10,2023,1,10,1,0,0,1,맑음,기타,2.5,-4.0,9.0,0.0,0,0,11.0,10.0,1683
2023-01-11,2023,1,11,2,0,0,1,맑음,기타,3.5,-2.0,9.0,0.0,0,0,11.0,10.0,1629
2023-01-12,2023,1,12,3,0,0,1,맑음,기타,6.0,-1.0,13.0,0.0,0,0,11.0,10.0,2901
2023-01-13,2023,1,13,4,0,0,1,비,기타,7.5,5.0,10.0,0.0,0,0,11.0,9.0,229
2023-01-14,2023,1,14,5,1,0,1,비,기타,6.0,4.0,8.0,0.0,0,0,11.0,9.0,1102
2023-01-15,2023,1,15,6,1,0,1,눈,기타,0.5,-3.0,4.0,0.0,0,0,11.0,11.0,1965
2023-01-16,2023,1,16,0,0,0,1,흐림,기타,-4.0,-7.0,-1.0,0.0,0,0,11.0,10.0,1355
2023-01-17,2023,1,17,1,0,0,1,흐림,기타,-3.5,-7.0,0.0,0.0,0,0,11.0,10.0,1099
2023-01-18,2023,1,18,2,0,0,1,맑음,기타,-1.5,-5.0,2.0,0.0,0,0,11.0,10.0,1470
2023-01-19,2023,1,19,3,0,0,1,눈,기타,-1.0,-6.0,4.0,0.0,0,0,11.0,10.0,1838
2023-01-20,2023,1,20,4,0,0,1,맑음,기타,-3.0,-8.0,2.0,0.0,0,0,11.0,11.0,1287
2023-01-21,2023,1,21,5,1,1,1,맑음,기타,-4.0,-10.0,2.0,0.0,0,0,11.0,11.0,2083
2023-01-22,2023,1,22,6,1,1,1,눈,기타,0.0,-3.0,3.0,0.0,0,0,11.0,11.0,3073
2023-01-23,2023,1,23,0,0,1,1,흐림,기타,-1.0,-7.0,5.0,0.0,0,0,11.0,10.0,8373
2023-01-24,2023,1,24,1,0,1,1,맑음,기타,-12.0,-17.0,-7.0,0.0,0,0,11.0,8.0,399
2023-01-25,2023,1,25,2,0,0,1,맑음,기타,-11.0,-17.0,-5.0,0.0,0,0,11.0,8.0,269
2023-01-26,2023,1,26,3,0,0,1,눈,기타,-6.0,-9.0,-3.0,0.0,0,0,11.0,9.0,371
